Movie Name,Rating,Year,Director,Genre,Summary,Genre List
Aligarh,7.8,2015,Hansal Mehta,Biography,"A gay, linguistic professor living in a small orthodox city must deal with the aftermath of a sting operation that puts his sexual orientation in front of the entire nation.","Biography, Crime, Drama"
Saand Ki Aankh,7.5,2019,Tushar Hiranandani,Biography,"Both over the age of 60, Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills.","Biography, Drama"
Mary Kom,6.8,2014,Omung Kumar,Action,"A chronicle of the life of Indian boxer Mary Kom, who went through several hardships before audaciously accomplishing her ultimate dream.","Action, Biography, Drama"
Tanhaji: The Unsung Warrior,7.5,2020,Om Raut,Action,"Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput... Read all","Action, Biography, Drama"
Bandit Queen,7.5,1994,Shekhar Kapur,Action,The story of the bandit queen Phoolan Devi who was sent to prison in 1983 and got free in 1994.,"Action, Biography, Crime"
Rang Rasiya,7.0,2008,Ketan Mehta,Biography,A look into the life of 19th century Indian painter Raja Ravi Varma.,"Biography, Drama, Romance"
Sarbjit,7.3,2016,Omung Kumar,Biography,"Biopic of Sarabjit Singh, a farmer residing at Bhikiwind, Punjab, near the Indo-Pak border, crossed the border after having a couple of drinks. However, he was mistaken to be an Indian spy a... Read all","Biography, Drama"
Omerta,7.1,2017,Hansal Mehta,Action,"A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh, who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002.","Action, Biography, Crime"
Kaagaz,7.3,2021,Satish Kaushik,Biography,A satirical comedy about a common man and the struggle he goes through to prove his existence after being falsely being declared dead on government records.,"Biography, Comedy, Drama"
Viruddh... Family Comes First,7.0,2005,Mahesh Manjrekar,Drama,An ordinary 60 plus couple - Vidhyadhar Patwardhan and his wife are forced to search for their faith in human values and society after the death of their only son Amar. In the process they u... Read all,"Drama, Family"
Veer-Zaara,7.8,2004,Yash Chopra,Drama,"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever.","Drama, Family, Musical"
Vandana,7.7,1975,Narendra Suri,Family,,Family
Toolsidas Junior,7.4,2022,Mridul Toolsidas,Drama,"Watching his father lose the 1994 Club Snooker Championship, 13-year-old Midi takes on the impossible journey to bring his father's name on the Winner's Board.","Drama, Family, Sport"
Tonga-Wali,8.3,1955,Lekhraj Bhakri,Drama,,"Drama, Family"
Thokar,7.4,1953,Lekhraj Bhakri,Drama,,"Drama, Family"
The Blue Umbrella,7.3,2005,Vishal Bhardwaj,Comedy,"In a small village when a little girl's prescious umbrella is stolen, things goes wrong for a greedy tea seller who was very much interested in buying that umbrella from her.","Comedy, Drama, Family"
Tapasya,7.2,1976,Anil Ganguly,Drama,"The oldest daughter of an old and ailing man falls in love with the doctor treating her father, but the mother of the doctor insists that the girl must leave everything she does and stay wit... Read all","Drama, Family"
Stanley Ka Dabba,7.8,2011,Amole Gupte,Comedy,"A school-teacher, who forces children to share their food with him, forbids one from entering the school until he brings his own Tiffin/Lunch-box.","Comedy, Drama, Family"
Silsila,7.2,1981,Yash Chopra,Drama,"SILSILA is a love story, thwarted by society's demands, which reappears as adultery but can it survive in the face of society?","Drama, Family, Romance"
Shubh Nikah,7.2,2023,Arshad Siddiqui,Comedy,"Families of two different cultures join hands and come together for love, humanity, and peace with a strong message of national integrity","Comedy, Drama, Family"
Shri Krishna Leela,7.9,1971,Homi Wadia,Adventure,"Maharaj Kans rules Mathura and lives a lavish and wealthy lifestyle. He gets his sister, Devki, married to Vasudev, but shortly after the marriage finds out that Devki's 8th child will kill ... Read all","Adventure, Comedy, Drama"
Sharmaji Namkeen,7.5,2022,Hitesh Bhatia,Comedy,A light-hearted coming-of-age story of a lovable 60-year-old-man.,"Comedy, Drama, Family"
Saudagar,7.4,1973,Sudhendu Roy,Drama,A calculative man schemes to deceit a poor but young widow for his personal monetary gains.,"Drama, Family"
Sansar,8.0,1951,S.S. Vasan,Drama,"A struggling clerk lives with his wife and two children. Their blissful life is threatened with the arrival of his scheming mother and sister. A short time later, the clerk disappears, aband... Read all","Drama, Family"
Sanjh Aur Savera,7.2,1964,Hrishikesh Mukherjee,Drama,"Dr. Shankar Chaudhry lives a wealthy lifestyle in Bombay with his widowed mom, Rukmini, and younger sister, Manju. His mom would like him to get married to Ambala-based Advocate Madhusudan's... Read all","Drama, Family"
Saanjh,8.1,2017,Ajay K Saklanni,Drama,"When Saanjh's father sends her away to live with her grandmother in a remote village, she feels dejected and tries to escape. However with time as her bond with her grandmother becomes stron... Read all","Drama, Family"
Ribbon,6.9,2017,Rakhee Sandilya,Drama,A young working urban couple is overwhelmed with the birth of a baby girl and find that parenthood comes with its own challenges.,"Drama, Family"
Pyaasa Sawan,7.4,1981,Dasari Narayana Rao,Family,"While looking for employment, Chandrakant is mistaken for the son of a wealthy landlord by Prabhudas, who wants him to marry his only daughter, Shanti. By the time they find out the truth, i... Read all","Family, Romance"
Pooja Ke Phool,7.0,1964,A. Bhimsingh,Musical,"Balraj (Dharmendra), affectionately called Raj, by his elder brother (Nana Palsikar) and sister Vija (Madhumati), is a student in college in the arts semester. As the family is not very rich... Read all","Musical, Drama, Family"
Pocket Maar,7.2,1956,Harnam Singh Rawail,Action,"Roshan lives a poor lifestyle in Bombay with his widowed mother, who thinks he is gainfully employed, but Roshan has made crime his career and picks pockets and gambles for a living. A gangs... Read all","Action, Crime, Drama"
Piya Ka Ghar,7.0,1972,Basu Chatterjee,Comedy,"Malti Shankar lives in a fairly large house in a small town in India with her mom and dad, while her paternal uncle, Gauri Shankar, who has literally brought Malti up, lives in the house nex... Read all","Comedy, Drama, Family"
Parivar,7.5,1956,Asit Kumar Sen,Comedy,"A joint family consisting of four brothers, their wives, and their respective children, living under one roof. Some of the brothers are professionls, one a lawyer, a doctor, and others busin... Read all","Comedy, Drama, Family"
Parichay,7.6,1972,Gulzar,Drama,"In desperate need of a job, unemployed Ravi (Jeetendra) goes to his maternal uncle (A.K. Hangal) and aunt (Leela Mishra) in their village for a few days. His uncle decides that he can be a s... Read all","Drama, Family, Musical"
Pardes,8.3,1950,M. Sadiq,Drama,"Rajan, a teacher, falls in love with Chanda, a wealthy girl. However, he decides to go away from Chanda to earn money.","Drama, Family"
Kapoor & Sons,7.7,2016,Shakun Batra,Comedy,The story about two brothers who visit their dysfunctional family for their grandfather's birthday party.,"Comedy, Crime, Drama"
Ankhiyon Ke Jharokhon Se,7.6,1978,Hiren Nag,Drama,"A young man must deal with a broken engagement ceremony, while his to-be fiancée waits to be treated for blood cancer.","Drama, Family, Romance"
Manzil,6.9,1979,Basu Chatterjee,Drama,"Ajay Chandra, a hard working and ambitious young man, who dreams of bigger things than a small job. He has dreams of starting his own business. One day he meets Aruna at a friends wedding an... Read all","Drama, Romance, Family"
Heer Raanjha,7.1,1970,Chetan Anand,Musical,"Tragic love story. Punjabi ""Romeo and Juliet"".","Musical, Romance, Drama"
Mili,7.4,1975,Hrishikesh Mukherjee,Drama,"A reclusive, depressed man and a bubbly young woman fall in love but then find out that she has cancer.","Drama, Romance, Family"
Kal Aaj Aur Kal,6.5,1971,Randhir Kapoor,Family,"Widower Ram Kapoor lives a very wealthy lifestyle in Bombay, but is very lonely, as his only child, a son named Rajesh, lives abroad, and his aged dad, Diwan Bahadur, lives in the village. R... Read all","Family, Musical, Romance"
Baaz,6.6,1953,Guru Dutt,Action,"Nisha lives a poor lifestyle in the Portuguese-ruled Malabar region in India along with her widowed dad, Narayan Das. Both father and daughter are opposed to the oppressive rule of the Portu... Read all","Action, Adventure, Musical"
Kora Kagaz,7.3,1974,Anil Ganguly,Drama,"By the time we learn to live, life is gone.","Drama, Musical, Family"
Ek Saal,7.7,1957,Devendra Goel,Drama,The father of a dying woman pays a con artist to make his daughter's final year a happy one.,"Drama, Family, Romance"
Love in Simla,6.9,1960,R.K. Nayyar,Comedy,"After the untimely death of her father and step-mother, Sonia is orphaned and lives with her aunt and paternal uncle (Mrs. and General Rajpal Singh). Sonia is plain-looking as her real mothe... Read all","Comedy, Drama, Family"
Dard (Conflict of Emotions),7.4,1981,Ambrish Sangal,Drama,"Prosecuting Attorney Seema proceeds with the criminal prosecution of Deepak Srivastav, who is accused of Murder. She submits to the Judge to not be fooled by the innocent looks and the silen... Read all","Drama, Crime, Family"
Sholay,8.1,1975,Ramesh Sippy,Action,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.","Action, Adventure, Comedy"
Lagaan: Once Upon a Time in India,8.1,2001,Ashutosh Gowariker,Drama,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Drama, Musical, Sport"
Zindagi Na Milegi Dobara,8.2,2011,Zoya Akhtar,Comedy,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,"Comedy, Drama, Musical"
Kal Ho Naa Ho,7.9,2003,Nikkhil Advani,Comedy,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Nain... Read all","Comedy, Drama, Musical"
Mr. India,7.7,1987,Shekhar Kapur,Action,"A poor but big-hearted man takes orphans into his home. After discovering his scientist father's invisibility device, he rises to the occasion and fights to save his children and all of Indi... Read all","Action, Comedy, Drama"
Agneepath,7.6,1990,Mukul Anand,Action,"A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?","Action, Crime, Drama"
Kabhi Haan Kabhi Naa,7.6,1994,Kundan Shah,Comedy,A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.,"Comedy, Drama, Music"
Kuch Kuch Hota Hai,7.5,1998,Karan Johar,Comedy,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to r... Read all","Comedy, Drama, Musical"
Baazigar,7.6,1993,Abbas Alibhai Burmawalla,Crime,"A young man with a vendetta against a business tycoon seduces the man's younger daughter, but she begins to suspect her new lover's connection with her elder sister and his ulterior motive.","Crime, Drama, Musical"
Devdas,7.5,2002,Sanjay Leela Bhansali,Drama,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vic... Read all","Drama, Musical, Romance"
Qayamat Se Qayamat Tak,7.4,1988,Mansoor Khan,Drama,"Despite knowing that their respective families are bitter enemies, Raj and Rashmi fall in love with each other and decide to elope.","Drama, Musical, Romance"
Hum Dil De Chuke Sanam,7.4,1999,Sanjay Leela Bhansali,Comedy,"Nandini has to choose between Sameer, the man who taught her to fall in love; and Vanraj, the man from whom she learnt how to abide and fulfill promises of love.","Comedy, Drama, Musical"
Hum Aapke Hain Koun..!,7.5,1994,Sooraj R. Barjatya,Comedy,"Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby.","Comedy, Drama, Musical"
Rangeela,7.4,1995,Ram Gopal Varma,Comedy,A middle-class young woman who dreams of Bollywood fame is caught in a love triangle between her childhood friend and a famous actor.,"Comedy, Drama, Musical"
Rehnaa Hai Terre Dil Mein,7.5,2001,Gautham Vasudev Menon,Comedy,"Maddy impersonates Rajeev, the person his love interest, Reena, is about to marry and attempts to woo her. However, he is unprepared for the moment when the truth will be revealed.","Comedy, Drama, Musical"
Kabhi Khushi Kabhie Gham...,7.4,2001,Karan Johar,Drama,"After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahu... Read all","Drama, Musical, Romance"
Life in a Metro,7.4,2007,Anurag Basu,Comedy,"Six different stories, about nine people, each with different issues and problems, all occurring within one place: the METRO.","Comedy, Drama, Musical"
Khiladi,7.1,1992,Abbas Alibhai Burmawalla,Action,"Two friends wage bets for money and fun. There comes a time where they race to win the biggest bet, for they know that their lives depend on it.","Action, Musical, Mystery"
Maine Pyar Kiya,7.3,1989,Sooraj R. Barjatya,Drama,"After Suman's father leaves her in the care of another family while he travels abroad, she falls in love with Prem. However, in order to for them to marry, Prem has to prove to Suman's fathe... Read all","Drama, Musical, Romance"
Parineeta,7.2,2005,Pradeep Sarkar,Drama,The lifelong romance between Lolita (Balan) and Shekar (Khan) is upset by the arrival of another man.,"Drama, Musical, Romance"
Saajan,7.2,1991,Lawrence D'Souza,Drama,A poet (Sanjay Dutt) and his best friend (Salman Khan) fall in love with the same woman (Madhuri Dixit).,"Drama, Musical, Romance"
Airlift,7.9,2016,Raja Menon,Action,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.","Action, Drama, History"
Border,7.9,1997,J.P. Dutta,Action,"In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force.","Action, Drama, History"
Parmanu: The Story of Pokhran,7.6,2018,Abhishek Sharma,Action,"Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies.","Action, Drama, History"
Jodhaa Akbar,7.5,2008,Ashutosh Gowariker,Action,"A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.","Action, Drama, History"
Uri: The Surgical Strike,8.2,2019,Aditya Dhar,Action,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.","Action, Drama, History"
Padmaavat,7.1,2018,Sanjay Leela Bhansali,Drama,"Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and for... Read all","Drama, History, Romance"
Batla House,7.2,2019,Nikkhil Advani,Action,"In 2008, a violent shootout with terror suspects leaves one police officer struggling to hunt down the fugitives and justify the police action.","Action, Crime, Drama"
Religion,8.0,2007,Bhavna Talwar,Drama,"When a priest's wife brings home an orphan boy, her husband is against it. Over time, he develops a connection with him, but is shocked when he finds out the boy's religion.","Drama, History"
Kaala Patthar,7.6,1979,Yash Chopra,Action,Inspired by a true mining tragedy the film is about people from all walks of life showing courage and character to fight the forces of nature.,"Action, Drama, History"
Parzania,7.5,2005,Rahul Dholakia,Drama,"A parsi family struggles to find thier son in a genocide carried out by vested interests outfits during 2002, commonly known as Gujarat riots which broke out after the Godhra Train Burning i... Read all","Drama, History"
Kesari,7.4,2019,Anurag Singh,Action,"Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897.","Action, Drama, History"
Bajirao Mastani,7.3,2015,Sanjay Leela Bhansali,Action,"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.","Action, Drama, History"
Gold,7.3,2018,Reema Kagti,Drama,The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.,"Drama, History, Sport"
Firaaq,7.3,2008,Nandita Das,Drama,Chronicles the devastating impact on vulnerable Muslims in Gujarat after riots.,"Drama, History, Thriller"
Anand Math,8.0,1952,Hemen Gupta,Biography,,"Biography, Drama, History"
Pardesi,6.8,1957,Khwaja Ahmad Abbas,Adventure,"The film is based on travelogues of XV century Russian traveler Afanasy Nikitin called ""A journey beyond the three seas""","Adventure, Biography, History"
Chanakya Chandragupta,7.4,1977,N.T. Rama Rao,Action,The story of the courageous king ' Chandragupta ' of the mourya dynasty.,"Action, Drama, History"
Anarkali,7.1,1953,Nandlal Jaswantlal,History,Misunderstandings arise between Akbar and his son Salim when he disapproves his son's love.,"History, Musical, Romance"
Shahjehan,7.4,1946,Abdul Rashid Kardar,Drama,"Circa the Mugal rule in Hindustan, Shahjahan, the present emperor is approached by one of his subjects, whose daughter, Ruhi, is so beautiful, that her suitors have killed her to-be grooms, ... Read all","Drama, History, Romance"
'83,7.5,2021,Pritam Chakraborty,Biography,"On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.","Biography, Drama, History"
Maidaan,8.1,2024,Amit Ravindernath Sharma,Biography,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.","Biography, Drama, History"
Chandu Champion,8.3,2024,Kabir Khan,Action,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.,"Action, Biography, Drama"
Iqbal,8.1,2005,Nagesh Kukunoor,Drama,"Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player.","Drama, Sport"
Kai Po Che,7.8,2013,Abhishek Kapoor,Drama,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,"Drama, Sport"
My Brother... Nikhil,7.3,2005,Onir,Crime,Famous swimmer Nikhil Kapoor (Suri) deals with the repercussions of announcing the fact that he has HIV/AIDS.,"Crime, Drama, Sport"
The Brawler,8.0,2017,Anurag Kashyap,Action,A boxer struggles to make his mark in the boxing world.,"Action, Drama, Sport"
Panga,6.8,2020,Ashwiny Iyer Tiwari,Drama,"Panga is inspired by the life of a National-level Kabbadi player from India. It follows her triumphs, struggle, and overcoming of stereotypes. It shows how important family love and support ... Read all","Drama, Sport"
Tiki Taka,6.9,2020,Parambrata Chattopadhyay,Comedy,"Revolves around Khelechi, an African national, who comes to India with a football laden with narcotics to deliver it to P.K, who runs a drug cartel. However, in a comedy of errors P.K's men ... Read all","Comedy, Sport"
Sachin - A Billion Dreams,8.5,2017,James Erskine,Documentary,A tale of a small boy with dreams and his journey to becoming the God of Cricket and the most celebrated sportsperson in his country.,"Documentary, Sport"
Rashmi Rocket,7.2,2021,Akarsh Khurana,Drama,"A small-town girl overcomes all societal barriers to become a national-level athlete, but her glory is hindered when she is asked to undergo a gender test.","Drama, Sport"
Jersey,7.3,2022,Gowtam Tinnanuri,Drama,A cricketer who quits cricket decides to revive his career at the age of 36 for his sons dream and prove his ability.,"Drama, Sport"
Jhund,7.4,2022,Nagraj Manjule,Biography,"Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them i... Read all","Biography, Drama, Sport"
Ghoomer,7.6,2023,R. Balki,Drama,"Abhishek Bachchan and Saiyami Kher will be seen as left-handed cricketers in this film, which is a fictional story set against the backdrop of cricket.","Drama, Sport"
Kaun Pravin Tambe?,8.3,2022,Jayprad Desai,Biography,An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's ca... Read all,"Biography, Drama, Sport"
Tumbbad,8.2,2018,Rahi Anil Barve,Drama,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Drama, Fantasy, Horror"
Lekin...,7.9,1990,Gulzar,Drama,"Samir Niyogi lives in India and is assigned by the Government to travel to Rajasthan, evaluate a princely castle that once belonged to Raja Param Singh, take stock of all items, the conditio... Read all","Drama, Fantasy, Musical"
Kissaa Kursee Kaa,8.0,1978,Amrit Nahata,Comedy,The story of an evil politician.,"Comedy, Drama, Fantasy"
Karan Arjun,6.8,1995,Rakesh Roshan,Action,Karan and Arjun reincarnate in the different parts of the country. But the faith of their previous mother brings them together in order to avenge their death.,"Action, Drama, Fantasy"
Sant Dnyaneshwar,8.2,1940,Vishnupant Govind Damle,Biography,"Story of a boy who finds enlightenment by experiencing religious hypocrisy and dogmatism. Dnyaneshwar liberated the ""divine knowledge"" locked in the Sanskrit language to bring that knowledge... Read all","Biography, Drama, Fantasy"
Uran Khatola,7.5,1955,S.U. Sunny,Comedy,"A man's plane crashes in a city that is ruled by women and he starts liking the peasant girl who rescues him. However, the queen of the city also likes him but discovers that he likes someon... Read all","Comedy, Fantasy, Musical"
Chandralekha,7.3,1948,S.S. Vasan,Drama,"The two brothers named Veerasimhan and Sasankan, who fight with each other over ruling their father's kingdom and for marrying the village dancer Chandralekha.","Drama, Fantasy, Romance"
Neel Kamal,6.8,1968,Ram Maheshwari,Drama,"Sleepwalker Sita Raichand (Waheeda Rehman) is rescued by Ram (Manoj Kumar) while walking on a railway track. Shortly thereafter Guruji (David) and Mr. Raichand (Balraj Sahni), approach Ram's... Read all","Drama, Fantasy, Musical"
Sant Ravidas Ki Amar Kahani,8.4,1983,Babubhai Mistry,Fantasy,Saint Ravidas faces several obstacles in his way while spreading the thought of equality through his devotional songs.,Fantasy
Naukri,7.0,1978,Hrishikesh Mukherjee,Comedy,Ranjit was a badminton player and his family once lived a good life.Ranjit now cant feed his family as he has turned handicapped and feels of attempting suicide. One morning Ranjit tires to ... Read all,"Comedy, Fantasy"
Ramayana: The Legend of Prince Rama,9.2,1993,Ram Mohan,Animation,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","Animation, Action, Adventure"
